"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSMedicationDispense","EHDSMedicationDispense","","","",0,*,"","","","null {[]} {[]}
"EHDSMedicationDispense.substitution.id","EHDSMedicationDispense.substitution.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"EHDSMedicationDispense.substitution.extension","EHDSMedicationDispense.substitution.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EHDSMedicationDispense.substitution.modifierExtension","EHDSMedicationDispense.substitution.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"EHDSMedicationDispense.substitution.substitutionOccurred","EHDSMedicationDispense.substitution.substitutionOccurred","","","",0,1,"","","","boolean {[]} {[]}
","Indicated whether substitution was made by the dispenser","Question: is this relevant? It is in eHDSI dispensation.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitution.substitutionOccurred",0,1,"",""
"EHDSMedicationDispense.substitution.substitutionType","EHDSMedicationDispense.substitution.substitutionType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Indicated whether substitution was made by the dispenser","Question: is this relevant? It is in eHDSI dispensation.","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitution.substitutionType",0,1,"",""
"EHDSMedicationDispense.substitution.substitutionReason","EHDSMedicationDispense.substitution.substitutionReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason why the substitution was made","Reason why the substitution was made","","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.substitution.substitutionReason",0,*,"",""
"EHDSMedicationDispense.status","EHDSMedicationDispense.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the dispensation","Status of the dispensation","Added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.status",1,1,"",""
"EHDSMedicationDispense.statusReason","EHDSMedicationDispense.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of dispensation, for example the reason why the dispensation was made invalid","Reason for the current status of dispensation, for example the reason why the dispensation was made invalid","Added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.statusReason",0,*,"",""
"EHDSMedicationDispense.statusReasonText","EHDSMedicationDispense.statusReasonText","","","",0,1,"","","","string {[]} {[]}
","Textual reason for the current status of dispensation","Textual reason for the current status of dispensation","Added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.statusReasonText",0,1,"",""
"EHDSMedicationDispense.dosageInstructions","EHDSMedicationDispense.dosageInstructions","","","",0,*,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSDosaging {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","Added","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.dosageInstructions",0,*,"",""
"EHDSMedicationDispense.comment","EHDSMedicationDispense.comment","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","Added.","","","","","","","","",,,,,"",,,,"EHDSMedicationDispense.comment",0,*,"",""
