"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSFunctionalStatus","EHDSFunctionalStatus","","","",0,*,"","","","null {[]} {[]}
"EHDSFunctionalStatus.header.language","EHDSFunctionalStatus.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSFunctionalStatus.description","EHDSFunctionalStatus.description","","","",0,1,"","","","string {[]} {[]}
","Narrative description of the functional status","Narrative description of the need for the patient to be continuously assessed by third parties; functional status may influence decisions about how to plan and administer treatments.","","eHN HDR Guideline, MyHealth@EU, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.description",0,1,"",""
"EHDSFunctionalStatus.relatedConditions","EHDSFunctionalStatus.relatedConditions","","","",0,*,"","","","Base {[]} {[]}
","Conditions related to the functional status","Conditions related to the functional status","Disability in IPS","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.relatedConditions",0,*,"",""
"EHDSFunctionalStatus.relatedConditions.condition","EHDSFunctionalStatus.relatedConditions.condition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Condition related to the functional status","Condition related to the functional status","","","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.relatedConditions.condition",0,1,"",""
"EHDSFunctionalStatus.relatedConditions.conditionText","EHDSFunctionalStatus.relatedConditions.conditionText","","","",0,1,"","","","string {[]} {[]}
","Textual description of the condition","Textual description of the condition","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.relatedConditions.conditionText",0,1,"",""
"EHDSFunctionalStatus.relatedConditions.onsetDate","EHDSFunctionalStatus.relatedConditions.onsetDate","","","",0,1,"","","","dateTime {[]} {[]}
","Onset date of a condition","Onset date of a condition","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.relatedConditions.onsetDate",0,1,"",""
"EHDSFunctionalStatus.functionalStatusAssessment","EHDSFunctionalStatus.functionalStatusAssessment","","","",0,*,"","","","Base {[]} {[]}
","Functional assessment of the patient","Functional status assessment of the patient according to a specific assessment scheme.","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.functionalStatusAssessment",0,*,"",""
"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDescription","EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDescription","","","",0,1,"","","","string {[]} {[]}
","Description of the functional assessment","Description of the functional assessment","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDescription",0,1,"",""
"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentCode","EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Standardized code corresponding to the Functional assessment","Standardized code corresponding to the Functional assessment","","eHN HDR Guideline, ISO IPS","","","","","","","",,"preferred","ICF, SNOMED CT","","",,,,"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentCode",0,1,"",""
"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDateTime","EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the functional assessment","Date and time of the functional assessment","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentDateTime",0,1,"",""
"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentResult[x]","EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentResult[x]","","","",0,1,"","","","string {[]} {[]}
Quantity {[]} {[]}CodeableConcept {[]} {[]}","Functional assessment result value","Functional assessment result value","","eHN HDR Guideline, ISO IPS","","","","","","","",,"preferred","ICF, SNOMED CT","","",,,,"EHDSFunctionalStatus.functionalStatusAssessment.functionalAssessmentResult[x]",0,1,"",""
